15,5,8,5,1,2,2,0.0,1,1,2,2,1,2,2,0.0,4,0.0,1,0.0,1,1,1,13,299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
21,6,7,2,2,2,3,2,1,0.0,3,3,3,0.0,0.0,2,1,0.0,1,2,0.0,2,2,13,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
15,6,5,4,1,0.0,2,0.0,1,1,1,1,1,2,1,0.0,0.0,1,0.0,3,0.0,1,4,20,298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0
22,10,7,5,2,0.0,0.0,3,1,1,3,1,1,0.0,2,2,1,1,0.0,1,3,1,2,17,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0
9,19,6,3,2,1,0.0,0.0,0.0,0.0,1,0.0,4,0.0,2,2,1,3,2,0.0,1,1,1,14,345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0
23,19,15,2,1,0.0,3,1,0.0,1,0.0,3,0.0,1,3,3,0.0,5,1,2,1,2,3,22,239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0
10,6,2,4,3,2,1,1,2,1,0.0,1,4,2,0.0,1,0.0,3,4,1,1,0.0,2,20,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0
23,6,12,4,1,0.0,4,1,1,2,4,0.0,1,1,3,5,2,3,0.0,2,2,2,1,30,322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0
16,3,2,3,1,3,3,3,2,0.0,1,1,2,0.0,1,1,0.0,0.0,1,2,0.0,2,3,20,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
17,14,5,4,3,1,2,1,1,4,0.0,3,1,3,1,1,1,2,8,1,3,0.0,4,30,249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0
10,13,7,2,4,3,1,4,1,2,3,1,0.0,3,0.0,1,0.0,0.0,1,0.0,0.0,1,3,11,169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
24,14,5,4,2,2,2,0.0,1,0.0,3,3,1,1,3,2,1,0.0,1,3,3,0.0,1,36,299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
