examples.offloadDebugApp.NumbersFaceDetect_1,examples.offloadDebugApp.NumbersFaceDetect_2,examples.offloadDebugApp.NumbersFaceDetect_3,examples.offloadDebugApp.NumbersFaceDetect_4,examples.offloadDebugApp.NumbersFaceDetect_5,examples.offloadDebugApp.NumbersFaceDetect_6,examples.offloadDebugApp.NumbersFaceDetect_7,examples.offloadDebugApp.NumbersFaceDetect_8,examples.offloadDebugApp.NumbersFaceDetect_9,examples.offloadDebugApp.NumbersFaceDetect_10,examples.offloadDebugApp.NumbersFaceDetect_11,examples.offloadDebugApp.NumbersFaceDetect_12,examples.offloadDebugApp.NumbersFaceDetect_13,examples.offloadDebugApp.NumbersFaceDetect_14,examples.offloadDebugApp.NumbersFaceDetect_15,examples.offloadDebugApp.NumbersFaceDetect_16,examples.offloadDebugApp.NumbersFaceDetect_17,examples.offloadDebugApp.NumbersFaceDetect_18,examples.offloadDebugApp.NumbersFaceDetect_19,examples.offloadDebugApp.NumbersFaceDetect_20,examples.offloadDebugApp.NumbersFaceDetect_21,examples.offloadDebugApp.NumbersFaceDetect_22,examples.offloadDebugApp.NumbersFaceDetect_23,examples.offloadDebugApp.NumbersFaceDetect_24,BatteryDropTime
0.0,0.0,89.0,26.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0
2.0,0.0,1.0,0.0,0.0,1.0,81.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0
2.0,0.0,108.0,25.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0
0.0,0.0,1.0,0.0,0.0,0.0,81.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0
1.0,6.0,140.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0
2.0,0.0,0.0,0.0,0.0,3.0,48.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2.0,0.0,153.0,35.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0
1.0,0.0,3.0,0.0,0.0,5.0,56.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
0.0,0.0,132.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0
2.0,0.0,0.0,0.0,0.0,0.0,75.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0
3.0,0.0,142.0,29.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0
0.0,0.0,0.0,0.0,0.0,0.0,53.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
1.0,0.0,114.0,35.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0
2.0,0.0,2.0,1.0,0.0,2.0,89.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0
0.0,0.0,114.0,39.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0
2.0,0.0,3.0,0.0,0.0,0.0,71.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0
1.0,1.0,176.0,43.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0
2.0,0.0,1.0,0.0,0.0,0.0,58.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0
4.0,0.0,171.0,37.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0
1.0,1.0,1.0,1.0,0.0,5.0,69.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0
2.0,0.0,146.0,44.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0
1.0,0.0,1.0,0.0,0.0,0.0,67.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
3.0,0.0,157.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0
